,Judge_Name,Judge_Reject,Judge_Impose,Judge_Impose2,Def_Race,Court,Def_Gender,AnyCriminalHistory,crimetype_people,crimetype_violent,crimetype_property,crimetype_drug,crimetype_mva,crimetype_financial,crimetype_firearms,days_btwn_arrest_plea,days_btwn_plea_tender,DefAttorneyType,X1stCharge_Status,X1stPROS_SentLength,X1stPROS_ProbLength,X1stPROS_SentenceType,RehabTreatment,X1stPROS_Prison.,X1stPROS_Probation
243,Marie Green,No,No,Unclear,Unknown,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,701.0,153.0,a private attorney,Continuance without a finding,5.0,17.0,"State Prison,Probation",No,No,Yes
244,Julia Obrien,Yes,Yes,Less,Other,Not yet determined,Female,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,823.0,355.0,a private attorney,Dismissed,4.0,27.0,County/Split,Yes,Yes,Yes
245,Matthew Perez,Yes,No,More,Other,Not yet determined,Female,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,778.0,180.0,a court-appointed lawyer,Other,9.0,44.0,County/Split,Yes,Yes,Yes
246,Roger Hensley,Yes,No,Unclear,Unknown,Not yet determined,Female,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,211.0,725.0,from CPCS,Guilty verdict/finding,8.0,41.0,Probation,No,Yes,No
247,Roger Hensley,No,Yes,Unclear,Hispanic,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,924.0,576.0,a private attorney,Guilty verdict/finding,8.0,21.0,Probation,No,No,Yes
248,Matthew Perez,No,Yes,Unknown,Other,District Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,352.0,398.0,a private attorney,Guilty verdict/finding,2.0,6.0,House of Corrections,Yes,Yes,Yes
249,Matthew Perez,Yes,Yes,Less,Hispanic,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,324.0,668.0,from CPCS,Dismissed,9.0,15.0,"State Prison,Probation",Yes,Yes,Yes
250,Marie Green,Yes,No,Unclear,Other,Superior Court,Female,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,180.0,769.0,from CPCS,Continuance without a finding,8.0,20.0,House of Corrections,Yes,Yes,Yes
251,Paul Russell,Yes,Yes,More,Hispanic,Not yet determined,Male,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,254.0,201.0,a private attorney,Continuance without a finding,6.0,13.0,"State Prison,Probation",Yes,No,No
252,Zachary Mccall,No,No,Unknown,Hispanic,Not yet determined,Male,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,875.0,413.0,from CPCS,Guilty verdict/finding,0.0,39.0,House of Corrections,Yes,Yes,No
253,Paul Russell,Yes,Yes,Unclear,Other,Not yet determined,Female,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,671.0,533.0,a private attorney,Continuance without a finding,2.0,31.0,County/Split,No,No,Yes
254,Julia Obrien,No,No,Unknown,Unknown,Superior Court,Male,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,570.0,168.0,from CPCS,Other,8.0,23.0,"State Prison,Probation",Yes,Yes,Yes
255,Kyle White,No,No,More,White,Not yet determined,Female,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,441.0,544.0,a court-appointed lawyer,Continuance without a finding,8.0,6.0,House of Corrections,Yes,No,Yes
256,Rebecca Becker,Yes,Yes,Unknown,Unknown,Not yet determined,Female,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,845.0,643.0,unknown,Other,1.0,3.0,Probation,Yes,No,No
257,Rebecca Becker,No,Yes,Unknown,White,Superior Court,Female,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,599.0,556.0,a private attorney,Dismissed,8.0,5.0,State Prison,Yes,No,Yes
258,Kaitlin Flores,Yes,No,More,Unknown,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,268.0,18.0,from CPCS,Other,10.0,14.0,Probation,No,No,No
259,Julia Obrien,No,Yes,Unknown,Other,District Court,Male,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,220.0,523.0,a court-appointed lawyer,267/87,7.0,4.0,Probation,Yes,Yes,Yes
260,Rebecca Becker,Yes,Yes,Unknown,White,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,821.0,504.0,a private attorney,Other,7.0,28.0,State Prison,Yes,No,Yes
261,Paul Russell,No,No,Unknown,Other,Not yet determined,Female,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,206.0,521.0,a court-appointed lawyer,Continuance without a finding,9.0,18.0,State Prison,Yes,Yes,No
262,Julia Obrien,No,No,More,Hispanic,Superior Court,Male,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,497.0,700.0,a private attorney,Guilty verdict/finding,2.0,18.0,"State Prison,Probation",No,No,Yes
263,Rebecca Becker,No,No,Unknown,White,District Court,Female,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,982.0,671.0,unknown,Continuance without a finding,4.0,42.0,County/Split,Yes,Yes,Yes
264,Roger Hensley,No,Yes,Unknown,Unknown,Superior Court,Male,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,363.0,298.0,unknown,Guilty verdict/finding,1.0,25.0,House of Corrections,No,No,Yes
265,Paul Russell,Yes,No,Less,White,Not yet determined,Female,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,170.0,581.0,from CPCS,Guilty verdict/finding,3.0,39.0,County/Split,Yes,No,Yes
266,Gregory Wilkins,No,No,Unclear,Unknown,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,845.0,482.0,from CPCS,Other,8.0,2.0,"State Prison,Probation",Yes,No,No
267,Roger Hensley,No,Yes,Unknown,Black,Not yet determined,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,797.0,713.0,a private attorney,Dismissed,1.0,39.0,State Prison,No,No,Yes
268,Roger Hensley,Yes,Yes,More,Other,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,419.0,800.0,a court-appointed lawyer,Guilty verdict/finding,8.0,47.0,State Prison,No,Yes,No
269,Zachary Mccall,Yes,No,Unclear,White,Not yet determined,Male,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,511.0,642.0,from CPCS,Continuance without a finding,5.0,2.0,State Prison,No,No,Yes
270,Marie Green,Yes,Yes,Unknown,Black,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,180.0,11.0,unknown,Guilty verdict/finding,6.0,11.0,County/Split,Yes,Yes,No
271,Matthew Perez,No,Yes,Unclear,White,District Court,Male,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,939.0,732.0,a court-appointed lawyer,Guilty verdict/finding,4.0,25.0,County/Split,Yes,No,No
272,Rebecca Becker,No,No,Unknown,Other,District Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,482.0,612.0,unknown,Continuance without a finding,5.0,38.0,House of Corrections,Yes,Yes,Yes
273,Marie Green,No,Yes,Less,Hispanic,Superior Court,Female,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,546.0,701.0,from CPCS,267/87,3.0,2.0,House of Corrections,No,No,Yes
274,Julia Obrien,Yes,No,Unclear,Hispanic,Not yet determined,Female,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,442.0,297.0,unknown,267/87,3.0,27.0,Probation,No,Yes,Yes
275,Marie Green,No,No,More,Unknown,District Court,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,320.0,unknown,267/87,3.0,17.0,"State Prison,Probation",Yes,No,Yes
276,Roger Hensley,Yes,Yes,Unclear,Unknown,Superior Court,Male,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,436.0,23.0,a private attorney,Dismissed,2.0,23.0,House of Corrections,Yes,No,No
277,Rebecca Becker,No,No,Unclear,Hispanic,Not yet determined,Female,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,761.0,711.0,a private attorney,Dismissed,9.0,46.0,Probation,No,No,No
278,Marie Green,No,Yes,More,White,District Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,687.0,422.0,from CPCS,Continuance without a finding,7.0,13.0,Probation,Yes,Yes,No
279,Zachary Mccall,No,Yes,More,Black,Superior Court,Female,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,376.0,571.0,a private attorney,Guilty verdict/finding,9.0,49.0,State Prison,No,No,No
280,Matthew Perez,No,Yes,More,Hispanic,District Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,960.0,181.0,a private attorney,Other,5.0,9.0,Probation,No,No,No
281,Roger Hensley,No,No,Less,Black,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,961.0,369.0,a private attorney,267/87,7.0,29.0,Probation,Yes,No,No
282,Zachary Mccall,No,Yes,Unclear,Hispanic,Not yet determined,Male,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,637.0,541.0,from CPCS,Continuance without a finding,3.0,40.0,State Prison,No,Yes,Yes
283,Julia Obrien,No,No,Unclear,Other,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,593.0,718.0,a private attorney,Other,1.0,3.0,House of Corrections,Yes,No,Yes
284,Matthew Perez,Yes,No,More,Unknown,Not yet determined,Female,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,314.0,364.0,a court-appointed lawyer,Other,2.0,14.0,County/Split,No,No,Yes
285,Rebecca Becker,No,Yes,More,Hispanic,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,116.0,602.0,a court-appointed lawyer,Guilty verdict/finding,7.0,26.0,State Prison,Yes,No,Yes
286,Matthew Perez,Yes,No,Less,White,Not yet determined,Male,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,566.0,776.0,a court-appointed lawyer,Nolle Prosequi,4.0,19.0,House of Corrections,Yes,Yes,No
287,Kaitlin Flores,No,No,Less,White,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,922.0,383.0,unknown,Continuance without a finding,6.0,40.0,"State Prison,Probation",No,No,Yes
288,Kyle White,Yes,Yes,Unclear,White,District Court,Male,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,911.0,455.0,a private attorney,Other,6.0,29.0,House of Corrections,Yes,Yes,Yes
289,Marie Green,Yes,No,Unknown,Black,Superior Court,Female,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,254.0,14.0,unknown,267/87,9.0,16.0,House of Corrections,No,No,Yes
290,Zachary Mccall,No,No,Less,Unknown,Superior Court,Female,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,590.0,244.0,unknown,267/87,3.0,24.0,Probation,No,No,Yes
291,Kaitlin Flores,Yes,Yes,Unknown,Hispanic,District Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,701.0,25.0,a private attorney,267/87,3.0,7.0,"State Prison,Probation",No,Yes,No
292,Zachary Mccall,Yes,Yes,Less,Black,Not yet determined,Male,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,693.0,179.0,a court-appointed lawyer,Other,3.0,26.0,House of Corrections,Yes,No,Yes
293,Kaitlin Flores,No,Yes,Unknown,Black,District Court,Male,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,556.0,9.0,a private attorney,Dismissed,1.0,1.0,State Prison,No,No,No
294,Paul Russell,Yes,No,Unclear,Hispanic,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,463.0,644.0,from CPCS,Nolle Prosequi,10.0,48.0,County/Split,No,Yes,Yes
295,Roger Hensley,Yes,Yes,Unknown,Unknown,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,990.0,198.0,a private attorney,Dismissed,5.0,0.0,County/Split,No,No,Yes
296,Zachary Mccall,No,Yes,Unclear,Hispanic,Superior Court,Male,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,802.0,348.0,a private attorney,Other,8.0,31.0,State Prison,Yes,No,Yes
297,Roger Hensley,Yes,No,Unclear,Other,Superior Court,Female,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,268.0,696.0,a court-appointed lawyer,Nolle Prosequi,9.0,18.0,"State Prison,Probation",Yes,No,No
298,Matthew Perez,No,Yes,More,Other,Superior Court,Female,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,300.0,105.0,unknown,Dismissed,5.0,49.0,State Prison,Yes,No,Yes
299,Kaitlin Flores,Yes,No,Unclear,White,District Court,Female,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,961.0,162.0,a court-appointed lawyer,Other,6.0,38.0,County/Split,Yes,No,Yes
300,Paul Russell,Yes,Yes,Less,Hispanic,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,570.0,604.0,a private attorney,Nolle Prosequi,7.0,16.0,Probation,No,Yes,Yes
301,Rebecca Becker,No,No,Less,Unknown,District Court,Female,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,641.0,119.0,a court-appointed lawyer,267/87,7.0,1.0,County/Split,No,No,Yes
302,Kyle White,Yes,Yes,Less,Other,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,196.0,404.0,unknown,Dismissed,1.0,7.0,County/Split,Yes,No,No
303,Julia Obrien,Yes,No,Less,Unknown,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,700.0,18.0,unknown,Continuance without a finding,3.0,23.0,Probation,No,Yes,Yes
304,Marie Green,Yes,Yes,Less,Unknown,Superior Court,Female,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,256.0,28.0,unknown,Nolle Prosequi,2.0,6.0,Probation,No,Yes,No
305,Matthew Perez,Yes,Yes,More,Other,District Court,Male,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,962.0,800.0,unknown,Nolle Prosequi,9.0,37.0,"State Prison,Probation",Yes,No,Yes
306,Kyle White,No,Yes,Less,Black,Superior Court,Male,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,962.0,607.0,a court-appointed lawyer,Nolle Prosequi,9.0,27.0,County/Split,Yes,No,No
307,Kyle White,Yes,No,Less,Unknown,District Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,459.0,557.0,from CPCS,Nolle Prosequi,4.0,48.0,"State Prison,Probation",No,Yes,Yes
308,Julia Obrien,No,Yes,Unclear,Unknown,District Court,Female,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,625.0,796.0,a court-appointed lawyer,Guilty verdict/finding,1.0,8.0,State Prison,Yes,No,No
309,Matthew Perez,No,Yes,Less,Black,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,429.0,709.0,a court-appointed lawyer,Other,7.0,14.0,House of Corrections,Yes,Yes,No
310,Kaitlin Flores,No,Yes,Unclear,Hispanic,District Court,Female,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,484.0,501.0,from CPCS,Other,8.0,17.0,House of Corrections,Yes,No,No
311,Roger Hensley,Yes,No,More,Hispanic,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,441.0,92.0,unknown,267/87,7.0,25.0,State Prison,No,Yes,No
312,Matthew Perez,No,Yes,Unclear,Hispanic,Not yet determined,Female,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,193.0,502.0,a court-appointed lawyer,Guilty verdict/finding,10.0,4.0,County/Split,Yes,Yes,No
313,Paul Russell,Yes,No,More,Black,District Court,Female,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,461.0,182.0,from CPCS,Dismissed,1.0,25.0,"State Prison,Probation",Yes,No,Yes
314,Marie Green,Yes,No,Unknown,Unknown,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,125.0,705.0,from CPCS,Continuance without a finding,5.0,3.0,State Prison,No,Yes,Yes
315,Matthew Perez,No,Yes,Less,Unknown,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,159.0,576.0,a private attorney,Guilty verdict/finding,5.0,33.0,County/Split,No,Yes,No
316,Zachary Mccall,No,No,Less,Black,District Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,355.0,644.0,a private attorney,Guilty verdict/finding,0.0,18.0,House of Corrections,Yes,Yes,Yes
317,Kyle White,Yes,No,More,Black,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,199.0,436.0,unknown,267/87,5.0,9.0,State Prison,No,Yes,Yes
318,Gregory Wilkins,Yes,No,More,Black,Not yet determined,Female,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,128.0,59.0,from CPCS,267/87,10.0,40.0,State Prison,No,No,No
319,Kyle White,Yes,Yes,Unclear,Hispanic,Not yet determined,Female,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,102.0,152.0,a private attorney,267/87,8.0,1.0,"State Prison,Probation",Yes,Yes,No
320,Gregory Wilkins,No,Yes,Unclear,Unknown,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,106.0,742.0,a court-appointed lawyer,Dismissed,0.0,50.0,State Prison,Yes,Yes,No
321,Kaitlin Flores,No,Yes,More,Unknown,Not yet determined,Female,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,922.0,589.0,unknown,Guilty verdict/finding,0.0,10.0,State Prison,No,No,No
322,Roger Hensley,Yes,No,Less,Black,Not yet determined,Female,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,815.0,575.0,a court-appointed lawyer,Continuance without a finding,0.0,23.0,House of Corrections,Yes,Yes,No
323,Rebecca Becker,No,Yes,Less,Unknown,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,467.0,650.0,a court-appointed lawyer,Other,8.0,32.0,House of Corrections,Yes,No,No
324,Kaitlin Flores,Yes,No,Less,Hispanic,Superior Court,Male,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,390.0,796.0,a private attorney,Continuance without a finding,10.0,35.0,County/Split,Yes,No,Yes
325,Kyle White,No,Yes,Less,White,District Court,Male,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,555.0,251.0,unknown,267/87,6.0,22.0,State Prison,Yes,Yes,Yes
326,Matthew Perez,Yes,No,Unknown,Black,District Court,Female,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,892.0,171.0,a private attorney,267/87,4.0,4.0,State Prison,No,No,No
327,Zachary Mccall,Yes,Yes,Unclear,White,Superior Court,Female,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,285.0,744.0,a private attorney,Continuance without a finding,5.0,49.0,Probation,No,Yes,No
328,Julia Obrien,Yes,No,More,White,Superior Court,Female,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,733.0,196.0,a private attorney,267/87,0.0,3.0,County/Split,No,Yes,Yes
329,Rebecca Becker,No,No,Unknown,Hispanic,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,759.0,11.0,from CPCS,Continuance without a finding,7.0,3.0,County/Split,No,No,No
330,Zachary Mccall,Yes,No,Unclear,Hispanic,District Court,Female,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,980.0,567.0,unknown,Other,6.0,33.0,House of Corrections,Yes,Yes,No
331,Matthew Perez,No,Yes,Less,Other,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,699.0,308.0,from CPCS,Dismissed,1.0,48.0,County/Split,No,No,Yes
332,Paul Russell,Yes,No,Less,Unknown,Not yet determined,Male,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,738.0,630.0,a private attorney,Dismissed,3.0,13.0,County/Split,No,No,Yes
333,Gregory Wilkins,No,Yes,Unclear,Hispanic,Not yet determined,Male,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,801.0,108.0,from CPCS,Guilty verdict/finding,7.0,9.0,Probation,Yes,Yes,No
334,Zachary Mccall,Yes,No,More,Hispanic,Superior Court,Female,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,980.0,751.0,a private attorney,267/87,3.0,14.0,"State Prison,Probation",No,Yes,No
335,Kyle White,Yes,Yes,Unknown,Other,Superior Court,Female,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,386.0,399.0,a private attorney,Dismissed,7.0,50.0,House of Corrections,No,No,Yes
336,Matthew Perez,Yes,No,Unclear,Unknown,District Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,411.0,8.0,unknown,Nolle Prosequi,4.0,19.0,House of Corrections,Yes,Yes,No
337,Zachary Mccall,No,No,More,Hispanic,District Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,447.0,274.0,from CPCS,Guilty verdict/finding,0.0,12.0,House of Corrections,Yes,No,No
338,Julia Obrien,No,No,Unknown,White,District Court,Female,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,214.0,309.0,a court-appointed lawyer,Guilty verdict/finding,4.0,18.0,"State Prison,Probation",Yes,Yes,No
339,Julia Obrien,Yes,No,Unclear,White,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,678.0,623.0,a court-appointed lawyer,Nolle Prosequi,5.0,18.0,House of Corrections,Yes,No,Yes
340,Marie Green,Yes,Yes,Unclear,Other,District Court,Male,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,348.0,129.0,a private attorney,Nolle Prosequi,8.0,3.0,"State Prison,Probation",Yes,Yes,Yes
341,Kaitlin Flores,No,Yes,More,Hispanic,District Court,Female,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,421.0,605.0,unknown,Dismissed,10.0,1.0,House of Corrections,Yes,No,Yes
342,Roger Hensley,No,Yes,More,Black,District Court,Female,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,693.0,692.0,unknown,267/87,3.0,34.0,House of Corrections,No,Yes,No
343,Zachary Mccall,No,Yes,More,Unknown,Superior Court,Male,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,950.0,8.0,a private attorney,Dismissed,9.0,48.0,County/Split,Yes,Yes,No
344,Roger Hensley,Yes,Yes,Less,White,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,862.0,189.0,unknown,Other,10.0,7.0,"State Prison,Probation",No,Yes,Yes
345,Rebecca Becker,No,No,Less,Black,District Court,Male,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,317.0,523.0,unknown,Nolle Prosequi,8.0,32.0,State Prison,No,Yes,No
346,Roger Hensley,Yes,No,Unknown,White,Superior Court,Female,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,967.0,175.0,a private attorney,Nolle Prosequi,9.0,48.0,Probation,Yes,No,Yes
347,Zachary Mccall,No,No,Less,White,Not yet determined,Female,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,561.0,111.0,a private attorney,267/87,8.0,8.0,"State Prison,Probation",No,Yes,Yes
348,Kaitlin Flores,Yes,Yes,More,Other,District Court,Female,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,906.0,578.0,a private attorney,267/87,10.0,0.0,"State Prison,Probation",Yes,Yes,No
349,Matthew Perez,No,No,Unknown,Unknown,District Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,458.0,609.0,unknown,Guilty verdict/finding,10.0,20.0,Probation,Yes,No,No
350,Marie Green,No,Yes,More,Other,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,278.0,769.0,unknown,Dismissed,9.0,45.0,Probation,No,No,Yes
351,Gregory Wilkins,No,Yes,Unknown,Unknown,Not yet determined,Female,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,431.0,608.0,a private attorney,Nolle Prosequi,1.0,2.0,State Prison,Yes,No,No
352,Kaitlin Flores,No,Yes,Unclear,Unknown,Not yet determined,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,957.0,144.0,unknown,Guilty verdict/finding,9.0,18.0,"State Prison,Probation",Yes,Yes,Yes
353,Rebecca Becker,No,Yes,Less,White,District Court,Male,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,305.0,557.0,a court-appointed lawyer,Guilty verdict/finding,5.0,17.0,"State Prison,Probation",Yes,No,Yes
354,Roger Hensley,No,No,Less,Black,District Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,638.0,179.0,from CPCS,Guilty verdict/finding,7.0,8.0,"State Prison,Probation",No,No,Yes
355,Kyle White,Yes,Yes,Unclear,Hispanic,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,293.0,383.0,unknown,Continuance without a finding,8.0,31.0,House of Corrections,No,No,Yes
356,Rebecca Becker,No,No,Unclear,White,District Court,Female,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,227.0,152.0,a private attorney,Other,0.0,22.0,State Prison,No,Yes,No
357,Roger Hensley,No,No,Less,Other,District Court,Female,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,599.0,680.0,from CPCS,Continuance without a finding,10.0,13.0,State Prison,Yes,Yes,No
358,Paul Russell,No,Yes,More,Hispanic,Not yet determined,Male,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,821.0,657.0,from CPCS,267/87,6.0,2.0,State Prison,No,Yes,Yes
359,Zachary Mccall,No,No,Less,Unknown,District Court,Male,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,502.0,311.0,a court-appointed lawyer,Other,10.0,36.0,County/Split,No,Yes,Yes
360,Roger Hensley,Yes,Yes,Unknown,Black,District Court,Female,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,428.0,106.0,unknown,Nolle Prosequi,7.0,46.0,"State Prison,Probation",Yes,Yes,Yes
361,Kaitlin Flores,No,Yes,More,Hispanic,Superior Court,Female,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,727.0,137.0,from CPCS,Dismissed,1.0,13.0,State Prison,Yes,Yes,Yes
